0,CombatZoneResize,241,226,406,300,TLResume,,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,
0,SansText,Hi guys and in           today's video,,,,
0,SansText,we will be beating          up children,,,,,
0,SansText,for the love of the game!,,,,,
0,CombatZoneResize,250,43,390,391,,,,,,,,0,CombatZoneResize,250,43,390,391,,,,
0,CombatZoneSpeed,960,,,,,,,,,,,0,CombatZoneSpeed,960,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,0,HeartTeleport,320,304,,,,,,
0.01,SansSlam,1,,,,,,,,,,,0.01,SansSlam,1,,,,,,,
0.01,BattleAngle,350,,,,,,,,,,,0.01,BattleAngle,350,,,,,,,
0.01,BattleAngle,340,,,,,,,,,,,0.01,BattleAngle,340,,,,,,,
0.01,BattleAngle,330,,,,,,,,,,,0.01,BattleAngle,330,,,,,,,
0.01,BattleAngle,320,,,,,,,,,,,0.01,BattleAngle,320,,,,,,,
0.01,BattleAngle,310,,,,,,,,,,,0.01,BattleAngle,310,,,,,,,
0.01,BattleAngle,300,,,,,,,,,,,0.01,BattleAngle,300,,,,,,,
0.01,BattleAngle,290,,,,,,,,,,,0.01,BattleAngle,290,,,,,,,
0.01,BattleAngle,280,,,,,,,,,,,0.01,BattleAngle,280,,,,,,,
0.01,BattleAngle,270,,,,,,,,,,,0.01,BattleAngle,270,,,,,,,
0,PlatformRepeat,250,320,40,0,100,10,170,,,,,0,PlatformRepeat,250,320,40,0,100,10,170,
0,PlatformRepeat,380,260,40,2,100,10,170,,,,,0,PlatformRepeat,380,260,40,2,100,10,170,
0,PlatformRepeat,250,200,40,0,100,10,170,,,,,0,PlatformRepeat,250,200,40,0,100,10,170,
0,PlatformRepeat,380,140,40,2,100,10,170,,,,,0,PlatformRepeat,380,140,40,2,100,10,170,
0,Platform,300,80,40,0,0,,,,,,,0,Platform,300,80,40,0,0,,,
0,BoneVRepeat,250,60,20,0,200,18,200,,,,,0,BoneVRepeat,250,60,20,0,200,18,200,
0,BoneVRepeat,390,60,20,2,200,18,200,,,,,0,BoneVRepeat,390,60,20,2,200,18,200,
0.9,GasterBlaster,1,0,371,200,371,0,7,0.4,,,,0.9,GasterBlaster,1,0,371,200,371,0,7,0.4
0,GasterBlaster,1,0,311,200,311,0,7,0.4,,,,0,GasterBlaster,1,0,311,200,311,0,7,0.4
0,GasterBlaster,1,0,261,200,261,0,7,0.4,,,,0,GasterBlaster,1,0,261,200,261,0,7,0.4
0,GasterBlaster,1,0,191,200,191,0,7,0.4,,,,0,GasterBlaster,1,0,191,200,191,0,7,0.4
0,GasterBlaster,1,0,131,200,131,0,7,0.4,,,,0,GasterBlaster,1,0,131,200,131,0,7,0.4

0.48,SansText,unyeets your fetus,,,,,,,
0.72,SansText,see you in deltarune           chapter 5.,,,,,,,,
0.74,Sound,Ding,,,,,,,
1.50,GasterBlaster,1,320,0,320,360,270,0.18,0.18
1.52,SansText,Dess is not the knight,,,,,,,
0,CombatZoneResize,241,226,406,300,,,,,
0,sinebones,-20,10,55,65,,,,
0,sinebones,20,-10,55,65,,,,
2.0,EndAttack,,,,,,,,
